"label","location_id","feature_set_name"
"RMH",189,"zoning"
"AG",190,"zoning"
"CB",190,"zoning"
"CU-GB",190,"zoning"
"CU-RM-5",190,"zoning"
"CU-RM-8",190,"zoning"
"CU-RM-8 & RS-9",190,"zoning"
"CU-RS-9 & RM-8",190,"zoning"
"GB",190,"zoning"
"GO-H",190,"zoning"
"HB",190,"zoning"
"HI",190,"zoning"
"LB",190,"zoning"
"LI",190,"zoning"
"LO",190,"zoning"
"MHP",190,"zoning"
"NB",190,"zoning"
"PI",190,"zoning"
"PUD",190,"zoning"
"RM-12",190,"zoning"
"RM-5",190,"zoning"
"RM-8",190,"zoning"
"RS-12",190,"zoning"
"RS-12-C",190,"zoning"
"RS-15",190,"zoning"
"RS-15-C",190,"zoning"
"RS-20",190,"zoning"
"RS-40",190,"zoning"
"RS-9",190,"zoning"
"SC",190,"zoning"
"AG",191,"zoning"
"A-O",191,"zoning"
"BP",191,"zoning"
"CB",191,"zoning"
"CD-A-O",191,"zoning"
"CD-BP",191,"zoning"
"CD-CB",191,"zoning"
"CD-C-H",191,"zoning"
"CD-C-L",191,"zoning"
"CD-C-M",191,"zoning"
"CD-C-N",191,"zoning"
"CD-HI",191,"zoning"
"CD-LI",191,"zoning"
"CD-LIM",191,"zoning"
"CD-O",191,"zoning"
"CD-PI",191,"zoning"
"CD-R-3",191,"zoning"
"CD-R-5",191,"zoning"
"CD-R-7",191,"zoning"
"CD-RM-12",191,"zoning"
"CD-RM-18",191,"zoning"
"CD-RM-26",191,"zoning"
"CD-RM-5",191,"zoning"
"CD-RM-8",191,"zoning"
"C-H",191,"zoning"
"C-L",191,"zoning"
"C-M",191,"zoning"
"C-N",191,"zoning"
"COUNTY",191,"zoning"
"HI",191,"zoning"
"LI",191,"zoning"
"LIM",191,"zoning"
"NS",191,"zoning"
"O",191,"zoning"
"PI",191,"zoning"
"PNR",191,"zoning"
"PUD",191,"zoning"
"R-3",191,"zoning"
"R-5",191,"zoning"
"R-7",191,"zoning"
"RM-12",191,"zoning"
"RM-18",191,"zoning"
"RM-26",191,"zoning"
"RM-5",191,"zoning"
"RM-8",191,"zoning"
"TN",191,"zoning"
"UMU",191,"zoning"
"B-1(CD)",204,"zoning"
"B-1(CD)(ANDO)",204,"zoning"
"B-1(CD)(HDO)",204,"zoning"
"B-1SCD",204,"zoning"
"B-2(CD)",204,"zoning"
"B-2(CD)(ANDO)",204,"zoning"
"B-2(CD)(HDO)",204,"zoning"
"B-D(CD)",204,"zoning"
"B-D(CD)(ANDO)",204,"zoning"
"BP(CD)",204,"zoning"
"BP(CD)(ANDO)",204,"zoning"
"CAC-1(CD)",204,"zoning"
"CAC-1(EX)",204,"zoning"
"CAC-2(CD)",204,"zoning"
"CAC-2(HDO)",204,"zoning"
"CC",204,"zoning"
"CC(ANDO)",204,"zoning"
"CC(CD)",204,"zoning"
"CG(ANDO)",204,"zoning"
"CG(CD)",204,"zoning"
"CG(CD)ANDO",204,"zoning"
"CG(HDO)",204,"zoning"
"CR(CD)",204,"zoning"
"I-1(CD)",204,"zoning"
"I-1(CD)(ANDO)",204,"zoning"
"I-1(TS-O)",204,"zoning"
"I-2(CD)",204,"zoning"
"I-2(CD)(ANDO)",204,"zoning"
"I-2(CD)(TS)",204,"zoning"
"IC-1(ANDO)",204,"zoning"
"IC-2(CD)",204,"zoning"
"IMU(CD)",204,"zoning"
"INST(CD)",204,"zoning"
"INST(CD)(ANDO)",204,"zoning"
"ML-1(ANDO)",204,"zoning"
"ML-1(CD)",204,"zoning"
"ML-1(CD)ANDO",204,"zoning"
"ML-2(ANDO)",204,"zoning"
"ML-2(CD)",204,"zoning"
"ML-2(CD)ANDO",204,"zoning"
"MUDD(CD)",204,"zoning"
"MUDD(CD)(HDO)",204,"zoning"
"MUDD(O)",204,"zoning"
"MUDD-O",204,"zoning"
"MUDD-O(ANDO)",204,"zoning"
"MUDD-O(CD)",204,"zoning"
"MUDD-O(HDO)",204,"zoning"
"MX-1",204,"zoning"
"MX-1(INNOV)",204,"zoning"
"MX-2",204,"zoning"
"MX-2(ANDO)",204,"zoning"
"MX-2 INNOV",204,"zoning"
"MX-2(INNOV)",204,"zoning"
"MX-3",204,"zoning"
"MX-3(INNOV)",204,"zoning"
"N1-A(ANDO)",204,"zoning"
"N1-A(CCO)",204,"zoning"
"N1-A(CD)",204,"zoning"
"N1-A(HDO)",204,"zoning"
"N1-B(HDO)",204,"zoning"
"N1-C(ANDO)",204,"zoning"
"N1-C(HDO)",204,"zoning"
"N1-D(CCO)",204,"zoning"
"N1-D(CD)",204,"zoning"
"N1-D(HDO)",204,"zoning"
"N1-E(CD)",204,"zoning"
"N1-E(HDO)",204,"zoning"
"N1-F(CD)",204,"zoning"
"N2-A(CD)",204,"zoning"
"N2-A(HDO)",204,"zoning"
"N2-B(ANDO)",204,"zoning"
"N2-B(CD)",204,"zoning"
"N2-B(HDO)",204,"zoning"
"N2-C(CD)",204,"zoning"
"N2-C(CD)ANDO",204,"zoning"
"N2-C(EX)",204,"zoning"
"N2-C(HDO)",204,"zoning"
"NC(CD)",204,"zoning"
"NC(HDO)",204,"zoning"
"NS",204,"zoning"
"NS ",204,"zoning"
"NS(ANDO)",204,"zoning"
"NS(HDO)",204,"zoning"
"O-15(CD)",204,"zoning"
"O-15(CD)(ANDO)",204,"zoning"
"O-1(CD)",204,"zoning"
"O-1(CD)(ANDO)",204,"zoning"
"O-2(CD)",204,"zoning"
"O-2(CD)(ANDO)",204,"zoning"
"O-3(CD)",204,"zoning"
"O-6(CD)",204,"zoning"
"O-9(CD)",204,"zoning"
"OFC(ANDO)",204,"zoning"
"OFC(HDO)",204,"zoning"
"R-12(CD)",204,"zoning"
"R-12MF(CD)",204,"zoning"
"R-12PUD",204,"zoning"
"R-15(CD)",204,"zoning"
"R-15MF(CD)",204,"zoning"
"R-15PUD",204,"zoning"
"R-17MF",204,"zoning"
"R-17MF(CD)",204,"zoning"
"R-17MF(CD)ANDO",204,"zoning"
"R-20MF",204,"zoning"
"R-20MF(CD)",204,"zoning"
"R-22MF(CD)",204,"zoning"
"R-3(CD)",204,"zoning"
"R-3(CD)(ANDO)",204,"zoning"
"R-43MF(CD)",204,"zoning"
"R-4(CD)",204,"zoning"
"R-4(CD)(ANDO)",204,"zoning"
"R-5",204,"zoning"
"R-5(CD)",204,"zoning"
"R-6(CD)",204,"zoning"
"R-6MF(CD)",204,"zoning"
"R-6MF(CD)(HDO)",204,"zoning"
"R-6MFH(CD)",204,"zoning"
"R-6PUD",204,"zoning"
"R-8(CD)",204,"zoning"
"R-8MF(CD)",204,"zoning"
"R-9(CD)",204,"zoning"
"R-9MF(CD)",204,"zoning"
"R-9MF(CD)(HDO)",204,"zoning"
"R-9PUD",204,"zoning"
"RAC(CD)",204,"zoning"
"RAC(EX)",204,"zoning"
"RC(CD)EX",204,"zoning"
"RE-1(CD)",204,"zoning"
"RE-3",204,"zoning"
"RE-3(O)",204,"zoning"
"R-I",204,"zoning"
"R-MH",204,"zoning"
"R-PUD",204,"zoning"
"RR-CD",204,"zoning"
"R-RPUD",204,"zoning"
"R/W",204,"zoning"
"TOC-NC",204,"zoning"
"TOD-M(CD)",204,"zoning"
"TOD-M(CD)(HDO)",204,"zoning"
"TOD-M(O)",204,"zoning"
"TOD-MO",204,"zoning"
"TOD-MO(HDO)",204,"zoning"
"TOD-NC(CD)",204,"zoning"
"TOD-NC(HDO)",204,"zoning"
"TOD-R(CD)",204,"zoning"
"TOD-R(CD)(HDO)",204,"zoning"
"TOD-R(O)",204,"zoning"
"TOD-RO",204,"zoning"
"TOD-RO(HDO)",204,"zoning"
"TOD-TR(CD)",204,"zoning"
"TOD-UC(CD)",204,"zoning"
"TOD-UC(EX)",204,"zoning"
"TOD-UC(HDO)",204,"zoning"
"UC(EX)",204,"zoning"
"UC(HDO)",204,"zoning"
"UE(EX)",204,"zoning"
"UMUD(CD)",204,"zoning"
"UMUD-O",204,"zoning"
"UMUD-O(HDO)",204,"zoning"
"UR-1(CD)",204,"zoning"
"UR-1(CD)(HDO)",204,"zoning"
"UR-2(CD)",204,"zoning"
"UR-2(CD)(ANDO)",204,"zoning"
"UR-2(CD)(HDO)",204,"zoning"
"UR-3(CD)",204,"zoning"
"UR-3(CD)(HDO)",204,"zoning"
"UR-C(CD)",204,"zoning"
"UR-C(CD)(HDO)",204,"zoning"
" ",205,"zoning"
"BC",205,"zoning"
"CZ",205,"zoning"
"GR",205,"zoning"
"HC",205,"zoning"
"IC",205,"zoning"
"NMX",205,"zoning"
"NR",205,"zoning"
"RP",205,"zoning"
"TC",205,"zoning"
"TN",205,"zoning"
"VC",205,"zoning"
"CB",207,"zoning"
"CI",207,"zoning"
"GR",207,"zoning"
"HC",207,"zoning"
"I-77",207,"zoning"
"NC",207,"zoning"
"NR",207,"zoning"
"R",207,"zoning"
"SP",207,"zoning"
"TC",207,"zoning"
"TND-U",207,"zoning"
"TOD-E",207,"zoning"
"TOD-R",207,"zoning"
"TR",207,"zoning"
"VS",207,"zoning"
"Water",207,"zoning"
"B-1",208,"zoning"
"B-1SCD",208,"zoning"
"B-3",208,"zoning"
"B-D",208,"zoning"
"B-H",208,"zoning"
"C",208,"zoning"
"C-MF",208,"zoning"
"CRC",208,"zoning"
"CRC2",208,"zoning"
"ENT",208,"zoning"
"HUC",208,"zoning"
"I-1",208,"zoning"
"I-2",208,"zoning"
"MUD",208,"zoning"
"O",208,"zoning"
"R-12",208,"zoning"
"R-12MF",208,"zoning"
"R-15",208,"zoning"
"R-15MF",208,"zoning"
"R-20",208,"zoning"
"R-9",208,"zoning"
"R/I",208,"zoning"
"R-MH",208,"zoning"
"R-VS",208,"zoning"
"SRN",208,"zoning"
"R-MH",209,"zoning"
"CZ-GBD",213,"zoning"
"CZ-I",213,"zoning"
"CZ-LI",213,"zoning"
"CZ-MFR",213,"zoning"
"CZ-MXD",213,"zoning"
"CZ-NBD",213,"zoning"
"CZ-RBD",213,"zoning"
"CZ-SF1",213,"zoning"
"CZ-SF4",213,"zoning"
"CZ-SF5",213,"zoning"
"DCD",213,"zoning"
"DTD",213,"zoning"
"DTD-R",213,"zoning"
"GBD",213,"zoning"
"H-I",213,"zoning"
"I",213,"zoning"
"L-I",213,"zoning"
"MFR",213,"zoning"
"NBD",213,"zoning"
"RBD",213,"zoning"
"RSF",213,"zoning"
"SF-1",213,"zoning"
"SF-2",213,"zoning"
"SF-3",213,"zoning"
"SF-4",213,"zoning"
"SF-5",213,"zoning"
