label,location_id,feature_set_name,match_status,matched_codes,matched_descriptions
O-1,83,Plano Zoning,not_found,,
MF-1,83,Plano Zoning,not_found,,
RC,83,Plano Zoning,not_found,,
NBD,83,Plano Zoning,resolved,NB,Neighborhood Business District
LI-1,83,Plano Zoning,not_found,,
O-2,83,Plano Zoning,not_found,,
MF-3,83,Plano Zoning,resolved,R-3,Multi-Family Residential
MF-2/PH,83,Plano Zoning,not_found,,
O-2/SF-A,83,Plano Zoning,not_found,,
MIXED-USE,83,Plano Zoning,resolved,PD-M|R-5,"Planned Unit Development, Mixed|Mixed Residential"
MF-2,83,Plano Zoning,not_found,,
PH,83,Plano Zoning,resolved,PM-RH,Park Model Recreational Home District
R,83,Plano Zoning,resolved,A|B|RR|R-1|R-2|R-3|R-4|R-5|R1-43|R1-9|R1-6|R1-MH|RL-43|RPD|RS-30|RS-40|R2|TC-R|TR|PD-R,"Single-Family Residential District|Duplex Residential District|Rural Residential District|Single Family Residential|Two Family Residential|Multi-Family Residential|High Density Residential|Mixed Residential|Single-Family Residential|Single-Family Residential|Single-Family Residential|Manufactured Home Overlay District|Rural Zoning District|Rural Preservation District|Residential Single-Family District|Residential Single-Family District|Two-Family Residential|Town Core-Residential District|Transitional Residential|Planned Unit Development, Residential"
SF-6/SF-7,83,Plano Zoning,not_found,,
R/O-1,83,Plano Zoning,not_found,,
SF,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|RS-40|RS-30|A|AA|R-1,Single-Family Residential|Single-Family Residential|Single-Family Residential|Residential Single-Family District|Residential Single-Family District|Single-Family Residential District|Single-Family District|Single Family Residential
SF-20,83,Plano Zoning,not_found,,
RT,83,Plano Zoning,not_found,,
R/O-2,83,Plano Zoning,not_found,,
SF-6,83,Plano Zoning,resolved,R1-6,Single-Family Residential
SF-7,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|RS-40|RS-30|A|AA|R-1,Single-Family Residential|Single-Family Residential|Single-Family Residential|Residential Single-Family District|Residential Single-Family District|Single-Family Residential District|Single-Family District|Single Family Residential
R/MF-2,83,Plano Zoning,not_found,,
REC-COM,83,Plano Zoning,resolved,RV|PM-RH|C-2|C-3,Recreational Vehicle|Park Model Recreational Home District|General Commercial|Commercial
SF-6/SF-7/PH,83,Plano Zoning,resolved,PM-RH,Park Model Recreational Home District
REC-COM/PUB-FAC,83,Plano Zoning,resolved,RV|PM-RH|C-2|C-3|GB|G|NB|LB|SC|PI,Recreational Vehicle|Park Model Recreational Home District|General Commercial|Commercial|General Business District|General Business District|Neighborhood Business District|Limited Business District|Shopping Center District|Public and Institutional District
RES,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-2|TR|R2|RS-40|RS-30|TC-R|PD-R|A|B|RR|R-1|R-3|R-4|R-5,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Two Family Residential|Transitional Residential|Two-Family Residential|Residential Single-Family District|Residential Single-Family District|Town Core-Residential District|Planned Unit Development, Residential|Single-Family Residential District|Duplex Residential District|Rural Residential District|Single Family Residential|Multi-Family Residential|High Density Residential|Mixed Residential"
RE,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-2|TR|RS-40|RS-30|TC-R|PD-R|A|B|RR|R-1|R-3|R-4|R-5|R2,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Two Family Residential|Transitional Residential|Residential Single-Family District|Residential Single-Family District|Town Core-Residential District|Planned Unit Development, Residential|Single-Family Residential District|Duplex Residential District|Rural Residential District|Single Family Residential|Multi-Family Residential|High Density Residential|Mixed Residential|Two-Family Residential"
SF-7/2F/PRD-7,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|R-2|R2|RS-40|RS-30|A|AA|R-1,Single-Family Residential|Single-Family Residential|Single-Family Residential|Two Family Residential|Two-Family Residential|Residential Single-Family District|Residential Single-Family District|Single-Family Residential District|Single-Family District|Single Family Residential
 ,88,zoning,not_found,,
UR,83,Plano Zoning,not_found,,
UMU,83,Plano Zoning,not_found,,
SF-A,83,Plano Zoning,resolved,A,Single-Family Residential District
SF-7/SF-9,83,Plano Zoning,not_found,,
SF-A/PRD-5,83,Plano Zoning,not_found,,
SF-7/PH,83,Plano Zoning,not_found,,
SF-A/MF-3,83,Plano Zoning,resolved,A|R-3,Single-Family Residential District|Multi-Family Residential
SF-9,83,Plano Zoning,resolved,R1-9,Single-Family Residential
SF-7/PRD-4,83,Plano Zoning,not_found,,
SF-A/PRD-1,83,Plano Zoning,not_found,,
SF-9/PH,83,Plano Zoning,not_found,,
SF-A/MF-2,83,Plano Zoning,resolved,A,Single-Family Residential District
SF-7/PRD-3,83,Plano Zoning,not_found,,
SF-7/PRD-2,83,Plano Zoning,resolved,R1-43|R1-9|R1-6|A|AA|RS-40|RS-30|R-1|PAD|PD-R|PD-M,"Single-Family Residential|Single-Family Residential|Single-Family Residential|Single-Family Residential District|Single-Family District|Residential Single-Family District|Residential Single-Family District|Single Family Residential|Planned Area Development|Planned Unit Development, Residential|Planned Unit Development, Mixed"
M-AP-2,117,zoning,resolved,M-AP,Airport Compatibility
M-AP-3,117,zoning,resolved,M-AP,Airport Compatibility
NZ,115,zoning,not_found,,
PRFLU,115,zoning,not_found,,
AS-1,117,zoning,not_found,,
M-AP-1,117,zoning,resolved,M-AP,Airport Compatibility
<Null>,115,zoning,not_found,,
OSP-Open Space Reserve,92,paradise_valley Zoning,resolved,OSP,Open Space Preserve District
RPUD,115,zoning,resolved,R|PUD,Retail District|Planned Unit Development
ROW,115,zoning,resolved,R,Retail District
P/I,102,Florence Zoning,resolved,PI,Public/Institutional
R1,115,zoning,resolved,R,Retail District
MXPUD,115,zoning,resolved,PUD,Planned Unit Development
CU,117,zoning,resolved,C,Commercial District
CD-3,117,zoning,resolved,CD,Channel District
B-1A,144,zoning,not_found,,
A-2,144,zoning,resolved,A,Agricultural
B-3,144,zoning,not_found,,
M-AP-4,117,zoning,resolved,M-AP,Airport Compatibility
B-1,144,zoning,not_found,,
PD-A,117,zoning,resolved,PD,Planned Development
A-1,144,zoning,resolved,A,Agricultural
B-2,144,zoning,not_found,,
UC,117,zoning,resolved,U,Urban District
E,138,Marana Zoning,not_found,,
D,138,Marana Zoning,resolved,DT|DN|DO|DR,Downtown|Downtown neighborhood|Downtown overlay|Design Review Overlay District
AU,144,zoning,resolved,A,Agricultural
B,138,Marana Zoning,not_found,,
A,138,Marana Zoning,resolved,AG,Agricultural
C,138,Marana Zoning,resolved,Zone C,large lot zone
I-2,144,zoning,not_found,,
NMU,144,zoning,not_found,,
R-CH,144,zoning,not_found,,
I-1,144,zoning,not_found,,
ESL,151,Juno Beach Zoning,resolved,SF-43,Estate Single-Family Residential District
PUN,144,zoning,resolved,P,Public District
RM-00,151,Juno Beach Zoning,not_found,,
TMU,144,zoning,not_found,,
RMH,144,zoning,not_found,,
R-4,144,zoning,not_found,,
G,144,zoning,not_found,,
RR/G,144,zoning,not_found,,
R-TH,144,zoning,not_found,,
R-TND,144,zoning,resolved,TND,Traditional Neighborhood Development Overlay District
GP,144,zoning,resolved,PNR|MH-P|M1,Parks and Recreation District|Manufactured Home Park|Industrial Park District
